periode;mottakere
jan.16; 315 720
feb.16;	316 187
mar.16;	317 136
apr.16;	317 334
mai.16;	317 869
jun.16;	317 754
jul.16;	317 504
aug.16;	317 490
sep.16;	317 782
okt.16;	318 195
nov.16;	318 112
des.16;	318 244
jan.17;	319 572
feb.17;	320 288
mar.17;	321 300
apr.17;	321 776
mai.17;	321 787
jun.17;	321 837
jul.17;	322 203
aug.17;	322 083
sep.17;	322 954
okt.17;	324 148
nov.17;	324 982
des.17;	325 875
jan.18;	326 967
feb.18;	328 005
mar.18;	329 371
apr.18;	329 885
mai.18;	331 283
jun.18;	332 084
jul.18;	332 938
aug.18;	333 001
sep.18;	334 184
okt.18;	335 778
nov.18;	337 600
des.18;	339 245
jan.19;	340 687
feb.19;	341 954
mar.19;	343 438
apr.19;	345 015
mai.19;	346 074
jun.19;	346 825
jul.19;	347 606
aug.19;	347 859
sep.19;	348 778
okt.19;	350 296
nov.19;	351 314
des.19;	352 197
jan.20;	353 326
feb.20;	354 020
mar.20;	355 224
apr.20;	356 268
mai.20;	357 133
jun.20;	357 504
jul.20;	357 606
aug.20;	357 063
sep.20;	357 161
okt.20;	357 307
nov.20;	357 271
des.20;	357 561
jan.21;	358 684
feb.21;	359 089
mar.21;	359 920
apr.21;	360 312
mai.21;	360 619
jun.21;	360 649
jul.21;	360 628
aug.21;	359 877
sep.21;	359 994
okt.21;	360 610
nov.21;	360 581
des.21;	360 939
jan.22;	361 980
feb.22;	362 324
mar.22;	363 059
apr.22;	363 297
mai.22;	363 014
jun.22;	362 762
jul.22;	362742
aug.22;	361978
sep.22;	362 525
okt.22;	363 391
nov.22;	363 826
des.22;	364 437
jan.23;	365 728
feb.23;	366 244
mar.23;	366 656
apr.23;	366 779
mai.23;	366 513
jun.23;	366 323


