periode	siv_status	ung_ufor	tilgang	antall
202210	enslig	0	0	128380
202211	enslig	0	0	128589
202212	enslig	0	0	128783
202301	enslig	0	0	129006
202302	enslig	0	0	129648
202303	enslig	0	0	129980
202304	enslig	0	0	130093
202305	enslig	0	0	130106
202306	enslig	0	0	130005
202307	enslig	0	0	129998
202308	enslig	0	0	129772
202309	enslig	0	0	129482
202210	enslig	1	0	65598
202211	enslig	1	0	65709
202212	enslig	1	0	65853
202301	enslig	1	0	66059
202302	enslig	1	0	66300
202303	enslig	1	0	66446
202304	enslig	1	0	66536
202305	enslig	1	0	66647
202306	enslig	1	0	66734
202307	enslig	1	0	66814
202308	enslig	1	0	66873
202309	enslig	1	0	66941
202210	samboer_gift	0	0	152072
202211	samboer_gift	0	0	152355
202212	samboer_gift	0	0	152493
202301	samboer_gift	0	0	152691
202302	samboer_gift	0	0	152955
202303	samboer_gift	0	0	153181
202304	samboer_gift	0	0	153099
202305	samboer_gift	0	0	153135
202306	samboer_gift	0	0	152726
202307	samboer_gift	0	0	152616
202308	samboer_gift	0	0	152484
202309	samboer_gift	0	0	152212
202210	samboer_gift	1	0	14847
202211	samboer_gift	1	0	14845
202212	samboer_gift	1	0	14808
202301	samboer_gift	1	0	14796
202302	samboer_gift	1	0	14883
202303	samboer_gift	1	0	14886
202304	samboer_gift	1	0	14913
202305	samboer_gift	1	0	14926
202306	samboer_gift	1	0	14928
202307	samboer_gift	1	0	14964
202308	samboer_gift	1	0	14974
202309	samboer_gift	1	0	14987
202210	enslig	0	1	1233
202211	enslig	0	1	1097
202212	enslig	0	1	1074
202301	enslig	0	1	1324
202302	enslig	0	1	1051
202303	enslig	0	1	956
202304	enslig	0	1	899
202305	enslig	0	1	750
202306	enslig	0	1	796
202307	enslig	0	1	860
202308	enslig	0	1	598
202309	enslig	0	1	954
202210	enslig	1	1	212
202211	enslig	1	1	209
202212	enslig	1	1	232
202301	enslig	1	1	314
202302	enslig	1	1	184
202303	enslig	1	1	182
202304	enslig	1	1	150
202305	enslig	1	1	130
202306	enslig	1	1	134
202307	enslig	1	1	152
202308	enslig	1	1	115
202309	enslig	1	1	153
202210	samboer_gift	0	1	1518
202211	samboer_gift	0	1	1400
202212	samboer_gift	0	1	1415
202301	samboer_gift	0	1	1469
202302	samboer_gift	0	1	1227
202303	samboer_gift	0	1	1035
202304	samboer_gift	0	1	1087
202305	samboer_gift	0	1	828
202306	samboer_gift	0	1	1007
202307	samboer_gift	0	1	1107
202308	samboer_gift	0	1	782
202309	samboer_gift	0	1	1224
202210	samboer_gift	1	1	30
202211	samboer_gift	1	1	30
202212	samboer_gift	1	1	45
202301	samboer_gift	1	1	101
202302	samboer_gift	1	1	28
202303	samboer_gift	1	1	22
202304	samboer_gift	1	1	32
202305	samboer_gift	1	1	15
202306	samboer_gift	1	1	17
202307	samboer_gift	1	1	23
202308	samboer_gift	1	1	15
202309	samboer_gift	1	1	21
